City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
290,raudeberg,NO,54.27,overcast clouds,61.9875,5.1352,Nordre Silda.
291,borovoy,RU,60.08,clear sky,55.4333,86.0833,Tsimus
293,visby,SE,55.94,mist,57.6409,18.296,Best Western Solhem Hotel Visby
294,folldal,NO,42.01,overcast clouds,62.1325,9.9968,Løkken Fjellgård
295,iquique,CL,59.04,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
296,yabrud,SY,51.53,clear sky,33.9674,36.6574,المنزل
298,sabha,LY,73.67,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
300,senneterre,CA,53.82,few clouds,48.3835,-77.2328,Motel Senabi
301,tiksi,RU,38.37,overcast clouds,71.6872,128.8694,Arktika
303,stokmarknes,NO,48.49,overcast clouds,68.5646,14.9108,Vesterålen Kysthotell
304,tunduma,TZ,58.68,overcast clouds,-9.3,32.7667,Sacse High Class Hotel
308,sayyan,YE,64.33,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
309,lata,PT,64.81,scattered clouds,40.1629,-8.3327,Casa Maquia
312,oktyabrskoye,RU,53.74,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
313,rawson,AR,57.74,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
314,sicuani,PE,47.82,broken clouds,-14.2694,-71.2261,Wilkamayu Hotel
315,ahipara,NZ,56.73,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
316,vana-vigala,EE,42.46,broken clouds,58.7806,24.2522,"Hostel ""Hirvepark"""
319,geraldton,AU,63.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
320,huaraz,PE,54.95,broken clouds,-9.5333,-77.5333,Hotel El Tumi
323,kindu,CD,69.98,overcast clouds,-2.95,25.95,Résidence Okanda
324,port hawkesbury,CA,56.59,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
326,margate,GB,56.95,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
327,hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
330,le port,RE,74.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
331,klyuchi,RU,73.44,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
332,goderich,CA,62.92,clear sky,43.7501,-81.7165,Harmony Inn
333,price,US,66.42,few clouds,39.5994,-110.8107,National 9 - Price River Inn
334,basoko,CD,69.78,overcast clouds,1.2391,23.616,Jackyna Hotel
335,bay roberts,CA,59.32,overcast clouds,47.5999,-53.2648,Stonewall Inn
336,ketchikan,US,47.48,light rain,55.3422,-131.6461,Snow's Cove Lodge
337,zhongshu,CN,74.41,broken clouds,24.5167,103.7667,Xintianlong Hotel
338,north bend,US,53.92,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
342,fort nelson,CA,45.99,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
346,coihaique,CL,42.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
347,hudiksvall,SE,43.52,overcast clouds,61.729,17.1036,Best Western Hotell Hudik
348,richards bay,ZA,61.54,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
349,hailar,CN,64.0,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
352,nkoteng,CM,68.77,overcast clouds,4.5167,12.0333,Résidence OOCLO-Cannelle
359,byron bay,AU,73.71,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
360,nereju,RO,63.72,overcast clouds,45.7167,26.7167,Castelul CATANOIU
361,nizhnyaya tura,RU,38.34,overcast clouds,58.6293,59.8118,"Gostinitsa ""Tura"""
363,college,US,54.59,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
364,kruisfontein,ZA,50.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
367,olden,NO,59.16,overcast clouds,61.8364,6.8064,Nesset Fjordcamping Olden
368,port lincoln,AU,63.07,clear sky,-34.7333,135.8667,Port Lincoln Hotel
369,mayo,US,74.21,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
370,esperance,AU,53.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
372,pacifica,US,62.58,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
373,nome,US,45.16,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
374,hwange,ZW,70.27,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
381,maragogi,BR,74.21,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
