City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,sawtell,AU,-30.3833,153.1,71.92,66,11,14.97,few clouds
272,hofn,IS,64.2539,-15.2082,52.88,99,100,5.06,overcast clouds
273,dunedin,NZ,-45.8742,170.5036,45.81,59,71,1.99,broken clouds
274,san patricio,US,28.017,-97.5169,82.26,73,97,7.74,overcast clouds
275,zyryanka,RU,65.75,150.85,64.99,34,27,7.58,scattered clouds
276,talnakh,RU,69.4865,88.3972,42.01,70,12,1.92,few clouds
277,salekhard,RU,66.53,66.6019,38.35,96,99,14.58,light rain
278,severomuysk,RU,56.1481,113.4267,32.86,57,73,5.84,broken clouds
279,arlit,NE,18.7369,7.3853,87.35,18,0,9.15,clear sky
280,berbera,SO,10.4396,45.0143,87.46,72,2,2.77,clear sky
281,agadez,NE,19.75,10.25,78.01,20,4,9.37,clear sky
282,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,63.19,39,0,11.18,clear sky
283,murgab,TM,37.4966,61.9714,62.47,55,0,0.0,clear sky
284,maumere,ID,-8.6199,122.2111,85.19,63,77,0.25,broken clouds
285,vardo,NO,70.3705,31.1107,41.2,68,62,10.98,broken clouds
286,west norriton,US,40.1296,-75.3785,72.64,85,90,1.01,overcast clouds
287,marfino,RU,55.7028,37.3822,43.05,87,75,4.47,broken clouds
288,pangnirtung,CA,66.1451,-65.7125,33.69,84,100,2.04,overcast clouds
289,kalmunai,LK,7.4167,81.8167,84.92,65,99,9.06,overcast clouds
290,raudeberg,NO,61.9875,5.1352,54.27,86,100,9.95,overcast clouds
291,borovoy,RU,55.4333,86.0833,60.08,72,0,8.95,clear sky
292,itarema,BR,-2.9248,-39.9167,78.6,86,8,16.17,clear sky
293,visby,SE,57.6409,18.296,55.94,94,90,13.8,mist
294,folldal,NO,62.1325,9.9968,42.01,94,97,5.82,overcast clouds
295,iquique,CL,-20.2208,-70.1431,59.04,72,44,3.22,scattered clouds
296,yabrud,SY,33.9674,36.6574,51.53,75,0,0.98,clear sky
297,staryy nadym,RU,65.6118,72.6842,42.03,80,100,22.46,overcast clouds
298,sabha,LY,27.0377,14.4283,73.67,31,0,9.91,clear sky
299,saint-augustin,CA,51.226,-58.6502,50.13,72,10,8.59,clear sky
300,senneterre,CA,48.3835,-77.2328,53.82,71,15,7.7,few clouds
301,tiksi,RU,71.6872,128.8694,38.37,89,100,13.09,overcast clouds
302,charters towers,AU,-20.1,146.2667,84.99,23,5,15.7,clear sky
303,stokmarknes,NO,68.5646,14.9108,48.49,75,100,3.85,overcast clouds
304,tunduma,TZ,-9.3,32.7667,58.68,70,93,3.27,overcast clouds
305,kanakapura,IN,12.55,77.4167,79.84,69,36,6.46,scattered clouds
306,rongcheng,CN,30.634,117.8517,84.24,56,3,4.85,clear sky
307,mareeba,AU,-17.0,145.4333,82.44,42,6,10.89,clear sky
308,sayyan,YE,15.1718,44.3244,64.33,27,97,3.2,overcast clouds
309,lata,PT,40.1629,-8.3327,64.81,98,25,1.34,scattered clouds
310,ca mau,VN,9.1769,105.15,89.53,58,100,0.43,overcast clouds
311,yaqui,MX,27.3667,-110.1667,85.15,68,2,4.74,clear sky
312,oktyabrskoye,RU,43.0645,44.7417,53.74,71,99,4.47,overcast clouds
313,rawson,AR,-43.3002,-65.1023,57.74,51,41,10.38,scattered clouds
314,sicuani,PE,-14.2694,-71.2261,47.82,71,63,3.06,broken clouds
315,ahipara,NZ,-35.1667,173.1667,56.73,77,98,13.78,overcast clouds
316,vana-vigala,EE,58.7806,24.2522,42.46,87,75,7.16,broken clouds
317,qasigiannguit,GL,68.8193,-51.1922,16.0,81,1,5.23,clear sky
318,manggar,ID,-2.8833,108.2667,85.77,66,9,12.5,clear sky
319,geraldton,AU,-28.7667,114.6,63.01,55,90,5.75,overcast clouds
320,huaraz,PE,-9.5333,-77.5333,54.95,70,73,5.01,broken clouds
321,pizarro,CO,4.9533,-77.366,78.03,88,85,4.12,light rain
322,banda aceh,ID,5.5577,95.3222,84.92,63,82,5.19,broken clouds
323,kindu,CD,-2.95,25.95,69.98,98,99,3.02,overcast clouds
324,port hawkesbury,CA,45.6169,-61.3485,56.59,97,1,1.99,clear sky
325,male,MV,4.1748,73.5089,84.15,79,75,13.8,broken clouds
326,margate,GB,51.3813,1.3862,56.95,93,64,1.01,broken clouds
327,hasaki,JP,35.7333,140.8333,73.8,64,100,13.58,overcast clouds
328,sao francisco,BR,-15.9486,-44.8644,76.01,35,0,9.98,clear sky
329,manado,ID,1.487,124.8455,86.77,66,40,4.61,scattered clouds
330,le port,RE,-20.9373,55.2919,74.61,74,4,5.88,clear sky
331,klyuchi,RU,52.2667,79.1667,73.44,20,100,17.83,overcast clouds
332,goderich,CA,43.7501,-81.7165,62.92,72,8,9.22,clear sky
333,price,US,39.5994,-110.8107,66.42,19,13,5.75,few clouds
334,basoko,CD,1.2391,23.616,69.78,97,100,3.2,overcast clouds
335,bay roberts,CA,47.5999,-53.2648,59.32,87,100,3.0,overcast clouds
336,ketchikan,US,55.3422,-131.6461,47.48,87,100,12.73,light rain
337,zhongshu,CN,24.5167,103.7667,74.41,65,67,6.69,broken clouds
338,north bend,US,43.4065,-124.2243,53.92,85,1,13.8,clear sky
339,hirara,JP,24.8,125.2833,89.87,74,40,8.05,scattered clouds
340,vung tau,VN,10.346,107.0843,83.32,72,86,1.83,overcast clouds
341,dingle,PH,10.9995,122.6711,82.72,80,98,5.32,overcast clouds
342,fort nelson,CA,58.8053,-122.7002,45.99,76,75,0.0,broken clouds
343,umm lajj,SA,25.0213,37.2685,81.14,73,18,6.17,few clouds
344,dawlatabad,AF,36.4141,64.9053,83.48,13,0,2.59,clear sky
345,the valley,AI,18.217,-63.0578,82.81,78,10,16.58,clear sky
346,coihaique,CL,-45.5752,-72.0662,42.75,87,75,4.61,broken clouds
347,hudiksvall,SE,61.729,17.1036,43.52,81,100,4.97,overcast clouds
348,richards bay,ZA,-28.783,32.0377,61.54,81,87,11.48,light rain
349,hailar,CN,49.2,119.7,64.0,51,99,8.84,overcast clouds
350,pathein,MM,16.7833,94.7333,83.48,80,100,9.28,overcast clouds
351,praia,CV,14.9215,-23.5087,79.34,83,20,17.27,few clouds
352,nkoteng,CM,4.5167,12.0333,68.77,98,100,4.54,overcast clouds
353,isla mujeres,MX,21.2311,-86.731,83.12,85,100,13.04,overcast clouds
354,virginia beach,US,36.8529,-75.978,77.22,92,100,1.99,overcast clouds
355,bathsheba,BB,13.2167,-59.5167,83.01,74,75,13.8,broken clouds
356,avera,US,33.194,-82.5271,73.27,92,91,3.74,overcast clouds
357,teluknaga,ID,-6.0989,106.6381,89.78,62,20,12.66,few clouds
